addresses
"[Scherer, Lilian Cristine; Fonseca, Rochele Paz] Pontificia Univ Catolica Rio Grande Sul PUCRS, BR-90619900 Porto Alegre, RS, Brazil; [Scherer, Lilian Cristine; Giroux, Francine; Senhadji, Noureddine; Marcotte, Karine; Lesage, Frederic; Ska, Bernadette; Joanette, Yves] Ctr Rech Inst Univ Geriatrie Montreal CRIUGM, Montreal, PQ, Canada; [Scherer, Lilian Cristine; Marcotte, Karine; Ska, Bernadette; Joanette, Yves] Univ Montreal, Ecole Orthophonie, Fac Med, Montreal, PQ H3C 3J7, Canada; [Braga Tomitch, Leda Maria] Univ Fed Santa Catarina, BR-88040900 Florianopolis, SC, Brazil; [Benali, Habib] UPMC, INSERM, Unite 678, Paris, France; [Lesage, Frederic] Ecole Polytech Montreal, Montreal, PQ, Canada"
"[Cywiak, David; Perez-Solano, Rafael; Gutierrez-Juarez, Gerardo] Univ Guanajuato, Div Ciencias & Ingn, Leon 37150, Gto, Mexico; [Cywiak, Moises] Ctr Invest Opt AC, Leon 37150, Gto, Mexico"
"[Dias Kanthack, Thiago F.] Univ Estadual Londrina, Conjoined Program, Grad Program Phys Educ, Londrina, Parana, Brazil; [Bigliassi, Marcelo; Altimari, Leandro Ricardo] Univ Estadual Londrina, Ctr Phys Educ & Sport, Londrina, Parana, Brazil"
"[Holper, Lisa; Wolf, Martin] Univ Zurich Hosp, Div Neonatol, BORL, CH-8091 Zurich, Switzerland; [Goldin, Andrea P.; Shalom, Diego E.; Sigman, Mariano] Univ Buenos Aires, Fac Exact & Nat Sci, Dept Phys, Lab Integrat Neurosci, RA-1053 Buenos Aires, DF, Argentina; [Battro, Antonio M.] Natl Acad Educ, Buenos Aires, DF, Argentina"
"[Moreno, G. E.; Pilan, M. L.; Manara, C.; Magliola, R.; Balestrini, M.; Lenz, A. M.; Krynski, M.; Althabe, M.; Landry, L.] Hosp Pediat Dr Juan P Garrahan, Cardiac Intens Care Unit UCI35, Buenos Aires, DF, Argentina; [Vassallo, J. C.] Hosp Pediat Dr Juan P Garrahan, Buenos Aires, DF, Argentina"
"[Mesquita, Rickson C.; Schenkel, Steven S.; Minkoff, David L.; Vora, Patrick M.; Busch, David R.; Chandra, Malavika; Yodh, A. G.] Univ Penn, Dept Phys & Astron, Philadelphia, PA 19104 , United States of America; [Mesquita, Rickson C.] Univ Estadual Campinas, Inst Phys, BR-13083859 Campinas, SP, Brazil; [Lu, Xiangping; Favilla, Christopher G.; Greenberg, Joel H.; Detre, John A.] Univ Penn, Dept Neurol, Philadelphia, PA 19104 , United States of America; [Busch, David R.] Childrens Hosp Philadelphia, Dept Pediat, Div Neurol, Philadelphia, PA 19104 , United States of America; [Detre, John A.] Univ Penn, Dept Radiol, Philadelphia, PA 19104 , United States of America"
"[Aleksandrowicz, Aleksandra; Hagenmuller, Florence; Roessler, Helene Haker; Heekeren, Karsten; Theodoridou, Anastasia; Walitza, S, United States of Americanne; Roessler, Wulf; Kawohl, Wolfram] Univ Hosp Psychiat Zurich, Zurich Program Sustainable Dev Mental Hlth Serv Z, Zurich, Switzerland; [Aleksandrowicz, Aleksandra; Hagenmuller, Florence; Heekeren, Karsten; Theodoridou, Anastasia; Kawohl, Wolfram] Univ Hosp Psychiat Zurich, Dept Psychiat Psychotherapy & Psychosomat, Zurich, Switzerland; [Walitza, S, United States of Americanne] Univ Zurich, Dept Child & Adolescent Psychiat, Zurich, Switzerland; [Roessler, Helene Haker] Univ Zurich, Inst Biomed Engn, Translat Neuromodeling Unit, Zurich, Switzerland; [Roessler, Helene Haker] Swiss Fed Inst Technol, Zurich, Switzerland; [Roessler, Wulf] Univ Sao Paulo, Inst Psychiat, Lab Neurosci LIM 27, BR-05508 Sao Paulo, Brazil"
"[Kim, Meeri N.; Yodh, Arjun G.] Univ Penn, Dept Phys & Astron, Philadelphia, PA 19104 , United States of America; [Edlow, Brian L.; Levine, Joshua M.; Greenberg, Joel H.; Detre, John A.] Univ Penn, Dept Neurol, Philadelphia, PA 19104 , United States of America; [Edlow, Brian L.] Massachusetts Gen Hosp, Dept Neurol, Boston, MA 02114 , United States of America; [Durduran, Turgut] Mediterranean Technol Pk, ICFO Inst Ciencies Foton, Barcelona 08860, Spain; [Frangos, Suzanne; Levine, Joshua M.] Univ Penn, Dept Neurosurg, Philadelphia, PA 19104 , United States of America; [Mesquita, Rickson C.] Univ Campinas UNICAMP, Inst Phys, BR-13083859 Campinas, SP, Brazil; [Detre, John A.] Univ Penn, Dept Radiol, Philadelphia, PA 19104 , United States of America"
"[Carbone, N. A.; Baez, G. R.; Garcia, H. A.; Serra, M. V. Waks; Di Rocco, H. O.; Iriarte, D. I.; Pomarico, J. A.] UNCPBA, CONICET, CIFICEN, IFAS, Tandil, Argentina; [Grosenick, D.; Macdonald, R.] PTB, D-10587 Berlin, Germany"
"[Maximiliano Gomez, David; Benavides-Varela, Silvia; Nespor, Marina; Mehler, Jacques] Scuola Int Super Studi Avanzati, Language Cognit & Dev Lab, I-34136 Trieste, Italy; [Maximiliano Gomez, David] Univ Chile, Ctr Adv Res Educ, Santiago 8330014, Chile; [Berent, Iris] Northeastern Univ, Dept Psychol, Boston, MA 02115 , United States of America; [Benavides-Varela, Silvia] Fdn Osped San Camillo, Neuropsychol Unit, Ist Ricovero & Cura Carattere Sci, I-30126 Venice, Italy; [Benavides-Varela, Silvia] Univ Paris 05, CNRS, Sorbonne Paris Cite, Lab Psychol Percept, F-75006 Paris, France; [Bion, Ricardo A. H.] Stanford Univ, Dept Psychol, Stanford, CA 94305 , United States of America; [Cattarossi, Luigi] Azienda Osped Santa Maria della Misericordia, Neonatol Unit, I-33100 Udine, Italy"
"[Holper, L.; Aleksandrowicz, A.; Mueller, M.; Ajdacic-Gross, V.; Hagenmuller, F.; Roessler, W.; Kawohl, W.] Univ Hosp Psychiat Zurich, Dept Psychiat Psychotherapy & Psychosomat, CH-8032 Zurich, Switzerland; [Aleksandrowicz, A.; Mueller, M.; Ajdacic-Gross, V.; Haker, H.; Hagenmuller, F.; Roessler, W.; Kawohl, W.] Univ Hosp Psychiat Zurich, Zurich Program Sustainable Dev Mental Hlth Serv, CH-8032 Zurich, Switzerland; [Haker, H.] Univ Zurich, Inst Biomed Engn, Translat Neuromodeling Unit, CH-8006 Zurich, Switzerland; [Haker, H.] Swiss Fed Inst Technol, Zurich, Switzerland; [Fallgatter, A. J.] Univ Tubingen, Dept Psychiat Psychotherapy, Tubingen, Germany; [Fallgatter, A. J.] Univ Tubingen, LEAD Grad Sch, Tubingen, Germany; [Roessler, W.] Univ Sao Paulo, Inst Psychiat, Lab Neurosci, BR-05508 Sao Paulo, Brazil"
"[Paquette, Natacha; Lassonde, Maryse; Vannasing, Phetsamone; Tremblay, Julie; Gonzalez-Frankenberger, Berta; Florea, Olivia; Beland, Renee; Lepore, Franco; Gallagher, Anne] St Justine Univ Hosp Res Ctr, Montreal, PQ H3T 1C5, Canada; [Paquette, Natacha; Lassonde, Maryse; Gonzalez-Frankenberger, Berta; Florea, Olivia; Beland, Renee; Lepore, Franco; Gallagher, Anne] Univ Montreal, Ctr Rech Neuropsychol & Cognit, Montreal, PQ H3C 3J7, Canada; [Gonzalez-Frankenberger, Berta] Univ Nacl Autonoma Mexico, Inst Neurobiol, Unidad Invest Neurodesarrollo, Juriquilla 76230, Queretaro, Mexico"
"[Bigliassi, Marcelo; Barreto-Silva, Vinicius; Altimari, Leandro R.] Univ Estadual Londrina, Ctr Phys Educ & Sport, BR-86051990 Londrina, Brazil; [Vandoni, Matteo; Codrons, Erwan] Univ Pavia, Dept Publ Hlth Expt Med & Forens Sci, LAMA, I-27100 Pavia, Italy; [Buzzachera, Cosme F.] North Univ Parana, Dept Phys Educ, Londrina, Brazil"
"[Leff, Daniel R.; James, David R. C.; Orihuela-Espina, Felipe; Kwok, Ka-Wai; Sun, Loi Wah; Mylonas, George; Athanasiou, Thanos; Darzi, Ara W.; Yang, Guang-Zhong] Univ London Imperial Coll Sci Technol & Med, Hamlyn Ctr Robot Surg, London SW7 2AZ, England; [Orihuela-Espina, Felipe] Natl Inst Astrophys Opt & Elect INAOE, Tonantzintla, Mexico"
"[Karahan, Esin] Bogazici Univ, Inst Biomed Engn, TR-34684 Istanbul, Turkey; [Rojas-Lopez, Pedro A.; Valdes-Hernandez, Pedro A.] Cuban Neurosci Ctr, Havana 10600, Cuba; [Bringas-Vega, Maria L.; Valdes-Sosa, Pedro A.] Univ Elect Sci & Technol China, Ctr Informat Med, Key Lab NeuroInformat, Minist Educ, Chengdu 610054, Peoples R China"
"[Paggetti, Giulia; Menegaz, Gloria] Univ Verona, Dept Comp Sci, I-37134 Verona, Italy; [Leff, Daniel Richard; Orihuela-Espina, Felipe; Mylonas, George; Darzi, Ara; Yang, Guang-Zhong] Univ London Imperial Coll Sci Technol & Med, Hamlyn Ctr Robot Surg, London SW7 2AZ, England; [Orihuela-Espina, Felipe] Natl Inst Astrophys Opt & Elect INAOE, Puebla 72840, Mexico"
"[Waltz, Xavier; Hardy-Dessources, Marie-Dominique; Lalanne-Mistrih, Marie-Laure; Lamarre, Yann; Connes, Philippe] Inserm 665, Pointe A Pitre 97159, Guadeloupe, France; [Waltz, Xavier; Hardy-Dessources, Marie-Dominique; Lalanne-Mistrih, Marie-Laure; Lamarre, Yann; Connes, Philippe] Univ Antilles Guyane, Pointe A Pitre 97159, Guadeloupe, France; [Waltz, Xavier; Hardy-Dessources, Marie-Dominique; Lamarre, Yann; Connes, Philippe] PRES Sorbonne Paris Cite, Lab Excellence GR Ex, F-75015 Paris, France; [Waltz, Xavier; Hue, Olivier; Connes, Philippe] Univ Antilles Guyane, Dept Physiol, Lab ACTES, EA 3596, Pointe A Pitre 97159, Guadeloupe, France; [Lalanne-Mistrih, Marie-Laure; Tressieres, Benoit] CHU Pointe A Pitre, Unit Transversale Drepanocytose, Pointe A Pitre 97159, Guadeloupe, France; [Lalanne-Mistrih, Marie-Laure; Tressieres, Benoit] CHU Pointe A Pitre, INSERM, CIC EC 802, Pointe A Pitre 97159, Guadeloupe, France; [Tarer, Vanessa] CHU Pointe A Pitre, Ctr Reference Malad Rares Drepanocytose Antilles, Pointe A Pitre 97159, Guadeloupe, France"
"[Bigliassi, Marcelo; Barreto-Silva, Vinicius; Altimari, Leandro R.] Univ Estadual Londrina, Ctr Phys Educ & Sports, Grp Study & Res Neuromuscular Syst & Exercise GEP, Londrina, Parana, Brazil; [Leon-Dominguez, Umberto] Autonomous Univ Madrid, Ctr Brain Injury Rehabil CRECER, Dept Psychiat, Sch Med, Seville, Spain; [Buzzachera, Cosme F.] North Univ Parana, Dept Phys Educ, Londrina, Parana, Brazil"
"[Vega, Roberto; Hernandez-Reynoso, Ana G.; Fuentes-Aguilar, Rita Q.; Sanchez-Ante, Gildardo; Santos-Garcia, Arturo; Garcia-Gonzalez, Alejandro] Tecnol Monterrey, Campus Guadalajara, Monterrey 45201, Mexico; [Linn, Emily Kellison] MIT, Dept Elect Engn & Comp Sci, Cambridge, MA 02139 , United States of America"
"[Goodwin, James R.; Cannaday, Ashley E.; Di Costanzo, Aldo; Berger, Andrew J.] Univ Rochester, Inst Opt, Rochester, NY 14627 , United States of America; [Goodwin, James R.] Queensland Univ Technol, Sch Chem Phys & Mech Engn, Brisbane, Qld 4001, Australia; [Palmeri, Holly G.; Emberson, Lauren L.; Aslin, Richard N.] Univ Rochester, Dept Brain & Cognit Sci, Rochester, NY 14627 , United States of America; [Di Costanzo, Aldo] Univ Autonoma Nuevo Leon, Fac Ciencias Fis Matemat, Ave Univ S-N, San Nicolas De Los Garza 66455, Nuevo Leon, Mexico; [Berger, Andrew J.] Univ Rochester, Dept Biomed Engn, Rochester, NY 14627 , United States of America"
"[Robinson, Neethu; Prasad, Vinod A.; Guan, Cuntai; Sitaram, Ranganatha] Nanyang Technol Univ, Sch Comp Sci & Engn, Singapore, Singapore; [Zaidi, Ali Danish; Sitaram, Ranganatha] Max Planck Inst Biol Cybernet, Tubingen, Germany; [Zaidi, Ali Danish; Rana, Mohit; Birbaumer, Niels; Sitaram, Ranganatha] Univ Tubingen, Inst Med Psychol & Behav Neurobiol, Tubingen, Germany; [Guan, Cuntai] ASTAR, Dept Neural & Biomed Technol, Inst Infocomm Res, Singapore, Singapore; [Birbaumer, Niels] Wyss Ctr Bio & Neuroengn, Geneva, Switzerland; [Rana, Mohit; Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Dept Psychiat, Santiago, Chile; [Rana, Mohit; Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Div Neurosci, Sch Engn, Santiago, Chile; [Rana, Mohit; Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Biol, Santiago, Chile; [Rana, Mohit; Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Med, Santiago, Chile; [Robinson, Neethu] Birla Inst Technol & Sci Pilani, Pilani, Goa, India"
"[Vannasing, Phetsamone; Florea, Olivia; Tremblay, Julie; Paquette, Natacha; Safi, Dima; Lepore, Franco; Beland, Renee; Lassonde, Maryse; Gallagher, Anne] St Justine Univ Hosp, Res Ctr, 3175 Chemin Cote St Catherine, Montreal, PQ H3T 1C5, Canada; [Florea, Olivia; Paquette, Natacha; Lepore, Franco; Beland, Renee; Lassonde, Maryse; Gallagher, Anne] Univ Montreal, Ctr Rech Neuropsychol & Cognit CERNEC, CP 6128,Succursale Ctr Ville, Montreal, PQ H3C 3J7, Canada; [Gonzalez-Frankenberger, Berta] Univ Nacl Autonoma Mexico, Inst Neurobiol, Blvd Juriquilla 3001, Juriquilla 76230, Queretaro, Mexico; [Safi, Dima] Univ Quebec Trois Rivieres, Dept Orthophonie, 3351 Boul Forges,CP 500, Trois Rivieres, PQ G9A 5H7, Canada; [Wallois, Fabrice] Univ Picardie, Neurophysiol Lab, GRAMFC, Fac Med, 3 Rue Louvels, F-80036 Amiens, France"
"[Holper, Lisa K. B.; Aleksandrowicz, Alekandra; Mueller, Mario; Ajdacic-Gross, Vladeta; Hagenmuller, Florence; Kawohl, Wolfram; Roessler, Wulf] Univ Hosp Psychiat Zurich, Dept Psychiat Psychotherapy & Psychosomat, Zurich, Switzerland; [Aleksandrowicz, Alekandra; Mueller, Mario; Haker, Helene; Hagenmuller, Florence; Kawohl, Wolfram; Roessler, Wulf] Univ Hosp Psychiat Zurich, Mental Hlth Serv, Zurich Program Sustainable Dev, Zurich, Switzerland; [Haker, Helene] Univ Zurich, Translat Neuromodeling Unit, Inst Biomed Engn, CH-8006 Zurich, Switzerland; [Haker, Helene] Swiss Fed Inst Technol, Zurich, Switzerland; [Fallgatter, Andreas J.] Univ Tubingen, Dept Psychiat & Psychotherapy, Tubingen, Germany; [Fallgatter, Andreas J.] Univ Tubingen, LEAD Grad Sch, Tubingen, Germany; [Roessler, Wulf] Univ Sao Paulo, Inst Psychiat, Lab Neurosci LIM27, Sao Paulo, Brazil; [Roessler, Wulf] Charite, Dept Psychiat & Psychotherapy, Berlin, Germany"
"[Choe, Jaehoon; Coffman, Brian A.; Bergstedt, Dylan T.; Ziegler, Matthias D.; Phillips, Matthew E.] HRL Labs LLC, Malibu, CA , United States of America; [Coffman, Brian A.] Univ Pittsburgh, Dept Psychiat, Pittsburgh, PA , United States of America; [Coffman, Brian A.] Univ New Mexico, Psychol Clin Neurosci Ctr, Albuquerque, NM 87131 , United States of America; [Bergstedt, Dylan T.] Pepperdine Univ, Dept Sports Med, Malibu, CA 90265 , United States of America; [Ziegler, Matthias D.] Lockheed Martin, Adv Technol Labs, Arlington, VA , United States of America"
"[Novi, Sergio L.; Rodrigues, Renato B. M. L.; Mesquita, Rickson C.] Univ Estadual Campinas, Inst Phys, BR-13083859 Campinas, SP, Brazil"
"[Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Engn, Inst Biol & Med Engn, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Engn, Dept Psychiat, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Engn, Div Neurosci, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Biol, Inst Biol & Med Engn, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Biol, Dept Psychiat, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Biol, Div Neurosci, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Med, Inst Biol & Med Engn, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Med, Dept Psychiat, Santiago, Region Metropol, Chile; [Sitaram, Ranganatha] Pontificia Univ Catolica Chile, Sch Med, Div Neurosci, Santiago, Region Metropol, Chile"
"[Decroix, Lieselot; Tonoli, Cajsa; Meeusen, Romain] Vrije Univ Brussel, Fac Phys Educ & Phys Therapy, Dept Human Physiol, Brussels, Belgium; [Tonoli, Cajsa; Tagougui, Semah; Heyman, Elsa] Univ Droit & Sante Lille 2, Fac Sport Sci & Phys Educ, Dept Phys Act Muscle & Hlth, Ronchin, France; [Soares, Dan, United States of America D.] Univ Minas Gerais, Dept Phys Educ, Belo Horizonte, MG, Brazil; [Meeusen, Romain] James Cook Univ, Sch Publ Hlth Trop Med & Rehabil Sci, Townsville, Qld, Australia"
"[Balardin, Joana B.; Furucho, Rogerio A.; Trambaiolli, Lucas; Vanzella, Patricia; Biazoli, Claudinei, Jr.; Sato, Joao R.] Univ Fed ABC, Ctr Math Computat & Cognit, Sao Bernardo Do Campo, Brazil; [Balardin, Joana B.] Hosp Israelita Albert Einstein, Inst Cerebro, Sao Paulo, Brazil; [Zimeo Morais, Guilherme A.] NiRx Med Tech GmbH, Berlin, Germany"
"[Herrera-Vega, Javier; Trevino-Palacios, Carlos G.; Orihuela-Espina, Felipe] Inst Nacl Astrofis Opt & Electr, Luis Enrique Erro 1 Sta Maria Tonantzintla, Puebla, Mexico"
"[Vitorio, R.; Stuart, S.; Rochester, L.; Alcock, L.; Pantall, A.] Newcastle Univ, Inst Ageing, Inst Neurosci, Newcastle Upon Tyne, Tyne & Wear, England; [Vitorio, R.] Univ Estadual Paulista UNESP, Inst Biociencias, Campus Rio Claro, Sao Paulo, Brazil; [Stuart, S.; Rochester, L.] Newcastle Upon Tyne NHS Fdn Trust, Newcastle Upon Tyne, Tyne & Wear, England"
"[Balardin, Joana Bisol; Furucho, Rogeio Akira; Trambaiolli, Lucas Romualdo; Sato, Joao Ricardo] Univ Fed ABC, Ctr Math Comp & Cognit, Sao Bernardo Do Campo, Brazil; [Balardin, Joana Bisol] Hosp Israelita Albert Einstein, Inst Cerebro, Sao Paulo, Brazil; [Morais, Guilherme Augusto Zimeo] NIRx Med Tech GmbH, Berlin, Germany"
"[Baker, Joseph M.; Reiss, Allan L.] Stanford Univ, Sch Med, Dept Psychiat & Behav Sci, Ctr Interdisciplinary Brain Sci Res,Div Brain Sci, 401 Quarry Rd, Stanford, CA 94305 , United States of America; [Rojas-Valverde, Daniel; Gutierrez, Randall] Univ Nacl, Ctr Invest & Diagnost Salud & Deporte, Heredia, Costa Rica; [Winkler, Mirko; Fuhrimann, Samuel] Swiss Trop & Publ Hlth Inst, Dept Epidemiol & Publ Hlth, Basel, Switzerland; [Winkler, Mirko; Fuhrimann, Samuel] Univ Basel, Basel, Switzerland; [Eskenazi, Brenda; Moral, Ana M.] Univ Calif Berkeley, Sch Publ Hlth, Ctr Environm Res & Childrens Hlth, Berkeley, CA 94720 , United States of America; [Reiss, Allan L.] Stanford Univ, Sch Med, Dept Radiol, Stanford, CA , United States of America; [Moral, Ana M.] Univ Nacl, Cent Amer Inst Studies Toxic Subst IRET, Heredia, Costa Rica"
"[de Lima-Pardini, Andrea Cristina] Univ Sao Paulo, Dept Radiol, LIM 44, Sao Paulo, Brazil; [Zimeo Morais, Guilherme A.] NIRx Med Tech GmbH, D-13355 Berlin, Germany; [Balardin, Joana Bisol; Sato, Joao Ricardo] Univ Fed ABC, Ctr Math Computat & Cognit, BR-09210180 Sao Bernardo Do Campo, Brazil; [Balardin, Joana Bisol] Hosp Israelita Albert Einstein, Inst Cerebro, BR-05652900 Sao Paulo, Brazil; [Coelho, Daniel Boari; Azzi, Nametala Maia; Teixeira, Luis Augusto] Univ Sao Paulo, Sch Phys Educ & Sport, Human Motor Syst Lab, Sao Paulo, Brazil"
"[Leff, Daniel Richard; Yongue, Gabriella; Orihuela-Espina, Felipe; James, David; Yang, Guang-Zhong; Darzi, Ara] Imperial Coll London, Hamlyn Ctr Robot Surg, London, England; [Leff, Daniel Richard; Yongue, Gabriella; Vlaev, Ivo; James, David; Taylor, Michael J.; Athanasiou, Thanos; Darzi, Ara] Imperial Coll London, Dept BioSurg & Surg Technol, London, England; [Dolan, Ray] UCL, Welcome Trust Ctr NeuroImaging, London, England; [Orihuela-Espina, Felipe] INAOE, Puebla, Mexico"
"[Garcia, H. A.; Iriarte, D. I.; Pornarico, J. A.] IFAS UNCPBA, Pinto 399,B7000GHG Tandil, Bs As, Argentina; [Garcia, H. A.; Iriarte, D. I.; Pornarico, J. A.] CIFICEN UNCPBA CICPBA CONICET, Pinto 399,B7000GHG Tandil, Bs As, Argentina; [Grosenick, D.; Macdonald, R.] PTB, Abbestr 2-12, D-10587 Berlin, Germany"
"[Benavides-Varela, Silvia] Univ Padua, Dept Dev Psychol & Socializat, I-35131 Padua, Italy; [Benavides-Varela, Silvia] Fdn Osped San Camillo, Ist Ricovero & Cura Carattere Sci, Neuropsychol Unit, I-30126 Venice, Italy; [Siugzdaite, Roma] Univ Ghent, Fac Psychol & Educ Sci, Data Anal Dept, B-9000 Ghent, Belgium; [Siugzdaite, Roma] Univ Ghent, Fac Psychol & Educ Sci, Experimental Psychol Dept, B-9000 Ghent, Belgium; [Gomez, David Maximiliano] Univ Chile, Ctr Invest Avanzada Educ, Santiago 8330014, Chile; [Gomez, David Maximiliano] Univ OHiggins, Inst Ciencias Educ, Rancagua 2841959, Chile; [Macagno, Francesco; Cattarossi, Luigi] Santa Maria Misericordia Hosp, Patol Neonatale, I-33100 Udine, Italy; [Mehler, Jacques] Scuola Int Super Studi Avanzati, Language Cognit & Dev Lab, I-34136 Trieste, Italy"
